neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,0,40.64749,-73.97237,0,149,1,9,6,365
1,1,40.75362,-73.98377,1,225,1,45,2,355
1,2,40.80902,-73.9419,0,150,3,0,1,365
0,3,40.68514,-73.95976,1,89,1,270,1,194
1,4,40.79851,-73.94399,1,80,10,9,1,0
1,5,40.74767,-73.975,1,200,3,74,1,129
0,6,40.68688,-73.95596,0,60,45,49,1,0
1,7,40.76489,-73.98493,0,79,2,430,1,220
1,8,40.80178,-73.96723,0,79,2,118,1,0
1,9,40.71344,-73.99037,1,150,1,160,4,188
1,8,40.80316,-73.96545,1,135,5,53,1,6
1,7,40.76076,-73.98867,0,85,2,188,1,39
0,10,40.66829,-73.98779,0,89,4,167,3,314
1,8,40.79826,-73.96113,0,85,2,113,1,333
1,11,40.7353,-74.00525,1,120,90,27,1,0
0,12,40.70837,-73.95352,1,140,2,148,1,46
0,13,40.69169,-73.97185,1,215,2,198,1,321
1,14,40.74192,-73.99501,0,140,1,260,1,12
0,15,40.67592,-73.94694,1,99,3,53,1,21
1,4,40.79685,-73.94872,1,190,7,0,2,249
0,12,40.71842,-73.95718,1,299,3,9,1,0
0,16,40.68069,-73.97706,0,130,2,130,6,347
0,16,40.67989,-73.97798,0,80,1,39,6,364
0,16,40.68001,-73.97865,0,110,2,71,6,304
0,6,40.68371,-73.94028,1,120,2,88,2,233
0,17,40.65599,-73.97519,0,60,1,19,2,85
1,18,40.86754,-73.92639,0,80,4,0,1,0
1,7,40.76715,-73.98533,1,150,10,58,1,75
1,18,40.86482,-73.92106,0,44,3,108,3,311
1,19,40.7292,-73.98542,1,180,14,29,1,67
1,2,40.82245,-73.95104,0,50,3,242,3,355
1,2,40.81305,-73.95466,0,52,2,88,1,255
0,20,40.72219,-73.93762,0,55,4,197,3,284
1,2,40.8213,-73.95318,0,50,3,273,3,359
0,6,40.6831,-73.95473,0,70,1,74,2,269
0,10,40.66869,-73.9878,0,89,4,168,3,340
0,6,40.68876,-73.94312,0,35,60,0,1,365
0,21,40.70186,-73.92745,1,85,2,231,2,22
0,22,40.63702,-73.96327,0,150,1,0,1,365
1,23,40.71401,-73.98917,2,40,1,214,4,188
1,19,40.7229,-73.98199,0,68,2,245,2,96
0,10,40.66278,-73.97966,1,120,3,15,1,345
0,13,40.69673,-73.97584,0,120,7,25,1,311
1,8,40.79009,-73.97927,0,135,4,81,1,273
1,2,40.81175,-73.94478,1,150,7,97,1,309
0,24,40.65944,-73.96238,1,150,29,11,1,95
2,25,40.74771,-73.9474,0,130,3,248,1,215
0,6,40.68111,-73.95591,1,110,7,61,1,265
0,6,40.68554,-73.9409,1,115,3,11,1,0
0,13,40.69142,-73.97376,0,80,3,135,2,192
0,6,40.68043,-73.93934,0,80,1,112,3,251
1,8,40.78635,-73.97008,1,151,2,73,1,302
0,12,40.7042,-73.9356,1,228,3,82,1,140
0,20,40.73506,-73.95392,1,144,2,328,1,234
1,26,40.73961,-73.98074,1,200,7,19,1,257
0,12,40.70881,-73.9593,1,150,30,105,1,30
1,23,40.72004,-73.99104,0,110,5,19,1,301
1,7,40.75531,-73.99293,0,69,2,289,2,294
0,20,40.72401,-73.93788,0,49,4,138,3,320
1,27,40.7221,-73.99775,1,180,30,21,1,154
0,12,40.71185,-73.96204,0,80,2,42,1,263
1,14,40.74623,-73.9953,1,375,180,5,1,180
1,28,40.77065,-73.95269,1,250,2,66,2,231
0,29,40.67811,-73.96428,1,200,30,143,2,297
0,3,40.69,-73.96788,0,55,7,27,2,292
1,7,40.75979,-73.99119,0,52,30,191,1,191
0,16,40.67343,-73.98338,1,225,3,4,1,0
1,19,40.72649,-73.97904,0,80,1,338,2,72
0,12,40.70933,-73.96792,1,275,1,148,1,362
1,19,40.72298,-73.98474,0,99,1,106,2,336
1,4,40.80164,-73.93922,1,225,4,190,1,215
1,19,40.72162,-73.98008,1,230,9,49,1,116
1,7,40.76342,-73.98865,0,51,7,23,1,88
1,30,40.83139,-73.94095,0,65,2,49,2,336
0,3,40.68346,-73.96374,0,105,2,105,1,304
1,19,40.72828,-73.98801,1,190,5,21,1,224
1,28,40.76865,-73.95058,0,200,1,142,1,322
2,31,40.75038,-73.90334,0,70,30,25,1,324
0,13,40.6932,-73.97267,0,95,3,143,1,132
1,14,40.74138,-74.00197,0,150,3,167,1,295
0,12,40.71154,-73.96112,0,145,3,61,4,238
1,2,40.82915,-73.95136,1,110,31,54,1,209
1,23,40.71851,-73.98892,1,285,5,70,1,328
0,22,40.65401,-73.96323,1,130,6,16,1,38
1,23,40.7114,-73.98794,0,94,30,94,1,188
0,32,40.69723,-73.99268,1,800,1,25,1,7
0,12,40.71833,-73.95748,1,105,3,61,1,272
1,19,40.72334,-73.9844,0,60,3,194,1,26
1,19,40.72912,-73.98057,0,50,1,2,1,0
0,12,40.71156,-73.96218,0,85,3,174,4,288
0,21,40.70032,-73.9383,0,65,4,24,1,317
0,29,40.68233,-73.97261,1,131,4,166,1,207
0,3,40.68634,-73.966,0,98,7,16,6,185
0,29,40.68035,-73.97162,1,250,7,21,1,158
